oid,town_na,road_na,site,x,y,CDate,lon,lat
181,板橋區,文化路,人行道,297018.679523,2768072.891409,2013-09-03 16:06:32.65,121.4658803,25.01999314
182,新莊區,思源路,人行道,296423.180081,2771317.610914,2013-09-03 16:06:32.65,121.4600893,25.049305
183,新莊區,思源路,人行道,296423.395555,2771310.387056,2013-09-03 16:06:32.65,121.4600912,25.04923977
184,新莊區,思源路,人行道,296423.287661,2771303.054991,2013-09-03 16:06:32.65,121.4600898,25.04917358
185,新莊區,思源路,人行道,296423.718923,2771295.939653,2013-09-03 16:06:32.65,121.4600939,25.04910933
186,新莊區,思源路,人行道,296423.611029,2771289.362217,2013-09-03 16:06:32.65,121.4600926,25.04904995
187,新莊區,思源路,人行道,296423.934866,2771256.048001,2013-09-03 16:06:32.65,121.4600947,25.04874918
188,新莊區,思源路,人行道,296423.934866,2771248.932193,2013-09-03 16:06:32.65,121.4600944,25.04868494
189,新莊區,思源路,人行道,296423.934866,2771242.247646,2013-09-03 16:06:32.65,121.4600942,25.04862459
190,新莊區,思源路,人行道,296423.503136,2771235.994986,2013-09-03 16:06:32.65,121.4600897,25.04856815
191,新莊區,思源路,中央分隔島,296393.643423,2771309.506983,2013-09-03 16:06:32.65,121.4597963,25.04923274
192,板橋區,文化路,人行道,297022.907316,2768078.272236,2013-09-03 16:06:32.65,121.4659224,25.02004159
193,新莊區,思源路,中央分隔島,296393.260446,2771281.201799,2013-09-03 16:06:32.65,121.4597915,25.04897721
194,新莊區,思源路,中央分隔島,296392.159501,2771255.360923,2013-09-03 16:06:32.65,121.4597797,25.04874395
195,新莊區,思源路,中央分隔島,296391.305075,2771277.317751,2013-09-03 16:06:32.65,121.459772,25.04894221
196,新莊區,思源路,中央分隔島,296391.793918,2771301.166969,2013-09-03 16:06:32.65,121.4597777,25.0491575
197,新莊區,思源路,中央分隔島,296393.269743,2771284.74156,2013-09-03 16:06:32.65,121.4597917,25.04900917
198,新莊區,思源路,中央分隔島,296394.839438,2771229.620514,2013-09-03 16:06:32.65,121.4598054,25.04851149
199,新莊區,思源路,中央分隔島,296392.714022,2771226.619081,2013-09-03 16:06:32.65,121.4597843,25.04848445
200,新莊區,思源路,人行道,296381.671279,2771223.91905,2013-09-03 16:06:32.65,121.4596747,25.04846042
201,新莊區,思源路,人行道,296381.671279,2771231.68175,2013-09-03 16:06:32.65,121.459675,25.0485305
202,新莊區,思源路,人行道,296381.907003,2771237.092607,2013-09-03 16:06:32.65,121.4596775,25.04857934
203,板橋區,文化路,人行道,297037.512417,2768048.101172,2013-09-03 16:06:32.65,121.4660661,25.01976875
204,新莊區,思源路,人行道,296381.455648,2771242.463277,2013-09-03 16:06:32.65,121.4596732,25.04862784
205,新莊區,思源路,人行道,296381.199831,2771248.6014,2013-09-03 16:06:32.65,121.4596709,25.04868326
206,新莊區,思源路,人行道,296381.162343,2771255.047524,2013-09-03 16:06:32.65,121.4596707,25.04874146
207,新莊區,思源路,人行道,296380.808757,2771261.007504,2013-09-03 16:06:32.65,121.4596674,25.04879528
208,新莊區,思源路,人行道,296380.573032,2771273.163189,2013-09-03 16:06:32.65,121.4596655,25.04890503
